Rank,Job Title,Company,Location,Match Score (%),Matched Skills,Easy Apply,Job URL,Status,Extracted Date
1,Python Machine Learning Engineer (Hybrid - Madrid),UST,"Madrid, Community of Madrid, Spain",85%,"AI Engineer, Python, Machine Learning",No,https://es.linkedin.com/jobs/view/python-machine-learning-engineer-hybrid-madrid-at-ust-4440457837,Curated (Pending Review),2026-09-16 05:10 PM
2,Python Machine Learning Engineer (Hybrid - Madrid),UST España & Latam,"Madrid, Community of Madrid, Spain",85%,"AI Engineer, Python, Machine Learning",No,https://es.linkedin.com/jobs/view/python-machine-learning-engineer-hybrid-madrid-at-ust-espa%C3%B1a-latam-4442626475,Curated (Pending Review),2026-09-16 05:10 PM
3,Python AI/ML Engineer - Remote Work | REF#303213,BairesDev,Greater Rio de Janeiro,80%,"AI Engineer, Python",No,https://br.linkedin.com/jobs/view/python-ai-ml-engineer-remote-work-ref%23303213-at-bairesdev-4464902605,Curated (Pending Review),2026-09-16 05:10 PM
4,Python Software Engineer -  AI team,Channable,"Utrecht, Utrecht, Netherlands",80%,"AI Engineer, Python",No,https://nl.linkedin.com/jobs/view/python-software-engineer-ai-team-at-channable-4454702624,Curated (Pending Review),2026-09-16 05:10 PM
5,Python AI/ML Engineer - Remote Work | REF#303212,BairesDev,"Lima, Peru",80%,"AI Engineer, Python",No,https://pe.linkedin.com/jobs/view/python-ai-ml-engineer-remote-work-ref%23303212-at-bairesdev-4464911020,Curated (Pending Review),2026-09-16 05:10 PM
6,Artificial Intelligence Engineer,KCS iT,Lisbon Metropolitan Area,80%,"AI Engineer, Artificial Intelligence",No,https://pt.linkedin.com/jobs/view/artificial-intelligence-engineer-at-kcs-it-4461975184,Curated (Pending Review),2026-09-16 05:10 PM
7,Machine Learning Engineer,EXL,"Dublin, County Dublin, Ireland",80%,"AI Engineer, Machine Learning",No,https://ie.linkedin.com/jobs/view/machine-learning-engineer-at-exl-4453479658,Curated (Pending Review),2026-09-16 05:10 PM
8,AI Engineer | Bulgaria,Deloitte,"Sofia, Sofia City, Bulgaria",75%,AI Engineer,No,https://bg.linkedin.com/jobs/view/ai-engineer-bulgaria-at-deloitte-4449567180,Curated (Pending Review),2026-09-16 05:10 PM
9,Experienced AI/ML Engineer (f/m/d),Siemens Energy,"Lisboa, Lisbon, Portugal",75%,AI Engineer,No,https://pt.linkedin.com/jobs/view/experienced-ai-ml-engineer-f-m-d-at-siemens-energy-4437575428,Curated (Pending Review),2026-09-16 05:10 PM
10,AI Engineer,Adevinta,"Barcelona, Catalonia, Spain",75%,AI Engineer,No,https://es.linkedin.com/jobs/view/ai-engineer-at-adevinta-4467714411,Curated (Pending Review),2026-09-16 05:10 PM
